chr	start	end	i	ngenes	dist	cum_sum
8	1766476	1766573	93	0	8601	0
8	1775174	1775233	94	0	10612	0
8	1785845	1785954	95	0	3179	0
8	1789133	1789252	96	0	51408	0
8	1840660	1840810	97	0	-132	0
8	1840678	1840884	98	0	-164	0
8	1840720	1840870	99	0	4599	0
8	1845469	1845909	100	0	-229	0
8	1845680	1845830	101	0	-70	0
8	1845760	1845910	102	0	80316	0
8	1926226	1926427	103	0	-127	0
8	1926300	1926450	104	0	22177	0
8	1948627	1948727	105	0	185	0
8	1948912	1948938	106	0	595	0
8	1949533	1949595	107	0	458	0
8	1950053	1950133	108	0	22107	0
8	1972240	1972507	109	0	-207	0
8	1972300	1972450	110	0	6356	0
8	1978806	1979041	111	0	-201	0
8	1978840	1978990	112	0	48670	0
8	2027660	2027810	113	0	-144	0
8	2027666	2027900	114	0	-180	0
8	2027720	2027870	115	0	6616	0
8	2034486	2034753	116	0	-193	0
8	2034560	2034710	117	0	-130	0
8	2034580	2034730	118	0	66213	0
8	2100943	2101036	119	0	85009	0
8	2186045	2186359	120	0	26001	0
8	2212360	2212510	121	0	-149	0
8	2212361	2212486	122	0	10016	0
8	2222502	2222564	123	0	7928	0
8	2230492	2230707	124	0	-147	0
8	2230560	2230710	125	0	10750	0
8	2241460	2241610	126	0	12993	0
8	2254603	2254657	127	0	8419	0
8	2263076	2263273	128	0	-173	0
8	2263100	2263250	129	0	45090	0
8	2308340	2308490	130	0	-145	0
8	2308345	2308606	131	0	-226	0
8	2308380	2308530	132	0	4350	0
8	2312880	2313030	133	0	-139	0
8	2312891	2313135	134	0	-235	0
8	2312900	2313050	135	0	25056	0
8	2338106	2338400	136	0	29945	0
8	2368345	2368554	137	0	-194	0
8	2368360	2368510	138	0	112470	0
8	2480980	2481130	139	0	-58	0
8	2481072	2481259	140	0	56321	0
8	2537580	2537730	141	0	-104	0
8	2537626	2537779	142	0	134320	0
8	2672099	2672317	143	0	-217	0
8	2672100	2672250	144	0	-50	0
8	2672200	2672350	145	0	205170	0
8	2877520	2877670	146	0	167350	0
8	3045020	3045170	147	0	-70	0
8	3045100	3045250	148	0	96358	0
8	3141608	3141788	149	0	-168	0
8	3141620	3141770	150	0	-110	0
8	3141660	3141810	151	0	372	0
8	3142182	3142385	152	0	-185	0
8	3142200	3142350	153	0	49930	0
8	3192280	3192430	154	0	-118	0
8	3192312	3192471	155	0	201629	0
8	3394100	3394250	156	0	-147	0
8	3394103	3394296	157	0	-176	0
8	3394120	3394270	158	0	48270	0
8	3442540	3442690	159	0	-133	0
8	3442557	3442687	160	0	61511	0
8	3504198	3504401	161	0	-201	0
8	3504200	3504350	162	0	-110	0
8	3504240	3504390	163	0	80385	0
8	3584775	3584963	164	0	-183	0
8	3584780	3584930	165	0	-110	0
8	3584820	3584970	166	0	51110	0
8	3636080	3636230	167	0	-125	0
8	3636105	3636189	168	0	376371	0
8	4012560	4012710	169	0	79425	0
8	4092135	4092352	170	0	-192	0
8	4092160	4092310	171	0	-110	0
8	4092200	4092350	172	0	46188	0
8	4138538	4138729	173	0	-169	0
8	4138560	4138710	174	0	-110	0
8	4138600	4138750	175	0	118670	0
8	4257420	4257570	176	0	-130	0
8	4257440	4257590	177	0	141871	0
8	4399461	4399664	178	0	-164	0
8	4399500	4399650	179	0	-130	0
8	4399520	4399670	180	0	291830	0
8	4691500	4691650	181	0	-130	0
8	4691520	4691670	182	0	3750	0
8	4695420	4695570	183	0	-148	0
8	4695422	4695607	184	0	37373	0
8	4732980	4733130	185	0	-116	0
8	4733014	4733117	186	0	-77	0
8	4733040	4733190	187	0	121430	0
8	4854620	4854770	188	0	-130	0
8	4854640	4854790	189	0	-132	0
8	4854658	4854797	190	0	65183	0
8	4919980	4920130	191	0	39433	0
8	4959563	4959634	192	0	583946	0
8	5543580	5543730	193	0	-130	0
8	5543600	5543750	194	0	192270	0
8	5736020	5736170	195	0	-119	0
8	5736051	5736137	196	0	54083	0
8	5790220	5790370	197	0	-130	0
8	5790240	5790390	198	0	7950	0
8	5798340	5798490	199	0	-126	0
8	5798364	5798560	200	0	29860	0
8	5828420	5828570	201	0	-88	0
8	5828482	5828579	202	0	89001	0
8	5917580	5917730	203	0	-130	0
8	5917600	5917750	204	0	16568	0
8	5934318	5934566	205	0	-226	0
8	5934340	5934490	206	0	-90	0
8	5934400	5934550	207	0	62979	0
8	5997529	5997811	208	0	-231	0
8	5997580	5997730	209	0	-110	0
8	5997620	5997770	210	0	18230	0
8	6016000	6016150	211	0	12982	0
8	6029132	6029292	212	0	86748	0
8	6116040	6116190	213	0	-130	0
8	6116060	6116210	214	0	-50	0
8	6116160	6116241	215	0	24439	0
8	6140680	6140830	216	0	-130	0
8	6140700	6140828	217	0	44657	0
8	6185485	6185630	218	0	3233	0
8	6188863	6189071	219	0	-191	0
8	6188880	6189030	220	0	-130	0
8	6188900	6189050	221	0	40710	0
8	6229760	6229910	222	0	-130	0
8	6229780	6229930	223	0	2190	0
8	6232120	6232270	224	0	-125	0
8	6232145	6232283	225	0	-123	0
8	6232160	6232310	226	0	49210	0
8	6281520	6281670	227	0	1010	0
8	6282680	6282830	228	0	-110	0
8	6282720	6282870	229	0	3954	0
8	6286824	6286886	230	0	58894	0
8	6345780	6345930	231	0	-90	0
8	6345840	6345990	232	0	61610	0
8	6407600	6407750	233	0	-126	0
8	6407624	6407878	234	0	-238	0
8	6407640	6407790	235	0	22070	0
8	6429860	6430010	236	0	-130	0
8	6429880	6430030	237	0	109990	0
8	6540020	6540170	238	0	-130	0
8	6540040	6540190	239	0	-144	0
8	6540046	6540172	240	0	20648	0
8	6560820	6560970	241	0	2910	0
8	6563880	6564030	242	0	5170	0
8	6569200	6569350	243	0	67841	0
8	6637191	6637436	244	0	-196	0
8	6637240	6637390	245	0	-130	0
8	6637260	6637410	246	0	20884	0
8	6658294	6658573	247	0	-233	0
8	6658340	6658490	248	0	-90	0
8	6658400	6658550	249	0	15270	0
8	6673820	6673970	250	0	-121	0
8	6673849	6674039	251	0	-139	0
8	6673900	6674050	252	0	13630	0
8	6687680	6687830	253	0	-70	0
8	6687760	6687910	254	0	10302	0
8	6698212	6698452	255	0	-212	0
8	6698240	6698390	256	0	17087	0
8	6715477	6715575	257	0	168	0
8	6715743	6715929	258	0	-129	0
8	6715800	6715950	259	0	-130	0
8	6715820	6715970	260	0	9108	0
8	6725078	6725193	261	0	-113	0
8	6725080	6725230	262	0	10315	0
8	6735545	6735686	263	0	9513	0
8	6745199	6745285	264	0	2783	0
8	6748068	6748133	265	0	28732	0
8	6776865	6777139	266	0	-219	0
8	6776920	6777070	267	0	-90	0
8	6776980	6777130	268	0	9004	0
8	6786134	6786399	269	0	-219	0
8	6786180	6786330	270	0	-130	0
8	6786200	6786350	271	0	214	0
8	6786564	6786701	272	0	5712	0
8	6792413	6792567	273	0	-127	0
8	6792440	6792590	274	0	14537	0
8	6807127	6807365	275	0	8270	0
8	6815635	6815939	276	0	-279	0
8	6815660	6815810	277	0	-110	0
8	6815700	6815850	278	1	68467	1
8	6884317	6884575	279	0	-195	1
8	6884380	6884530	280	0	-130	1
8	6884400	6884550	281	0	8769	1
8	6893319	6893568	282	0	-168	1
8	6893400	6893550	283	0	20	1
8	6893570	6893572	284	0	27524	1
8	6921096	6921307	285	0	-207	1
8	6921100	6921250	286	0	-110	1
8	6921140	6921290	287	0	4508	1
8	6925798	6925917	288	0	4106	1
8	6930023	6930080	289	0	19229	1
8	6949309	6949553	290	0	16727	1
8	6966280	6966430	291	0	-110	1
8	6966320	6966470	292	0	17250	1
8	6983720	6983870	293	0	26910	1
8	7010780	7010930	294	0	23143	1
8	7034073	7034138	295	0	45424	1
8	7079562	7079712	296	0	6016	1
8	7085728	7085811	297	0	126991	1
8	7212802	7213027	298	0	-147	1
8	7212880	7213030	299	0	42326	1
8	7255356	7255631	300	0	-231	1
8	7255400	7255550	301	0	26283	1
8	7281833	7282088	302	0	23651	1
8	7305739	7306006	303	0	621	1
8	7306627	7306683	304	0	18964	1
8	7325647	7325777	305	0	1408	1
8	7327185	7327433	306	0	35502	1
8	7362935	7363064	307	0	15882	1
8	7378946	7379250	308	0	5667	1
8	7384917	7384993	309	0	9343	1
8	7394336	7394645	310	0	303	1
8	7394948	7395004	311	0	143143	1
8	7538147	7538308	312	0	52	1
8	7538360	7538510	313	0	5733	1
8	7544243	7544479	314	0	-199	1
8	7544280	7544430	315	0	96630	1
8	7641060	7641113	316	0	288	1
8	7641401	7641721	317	0	9304	1
8	7651025	7651139	318	0	5656	1
8	7656795	7657111	319	0	42006	1
8	7699117	7699379	320	0	1423	1
8	7700802	7700976	321	0	19569	1
8	7720545	7720788	322	0	23707	1
8	7744495	7744746	323	0	26257	1
8	7771003	7771272	324	0	-132	1
8	7771140	7771290	325	0	151489	1
8	7922779	7923066	326	0	100094	1
8	8023160	8023342	327	0	33271	1
8	8056613	8056712	328	0	48628	1
8	8105340	8105490	329	0	-50	1
8	8105440	8105590	330	0	25250	1
8	8130840	8130990	331	0	-128	1
8	8130862	8130980	332	0	43540	1
8	8174520	8174670	333	0	-142	1
8	8174528	8174711	334	0	66409	1
8	8241120	8241270	335	0	-50	1
8	8241220	8241370	336	0	1725	1
8	8243095	8243313	337	0	-153	1
8	8243160	8243310	338	0	37890	1
8	8281200	8281350	339	0	63767	1
8	8345117	8345332	340	0	-212	1
8	8345120	8345270	341	0	6570	1
8	8351840	8351990	342	0	-104	1
8	8351886	8351967	343	0	4706	1
8	8356673	8356725	344	0	7417	1
8	8364142	8364256	345	0	10635	1
8	8374891	8375026	346	0	-86	1
8	8374940	8375090	347	0	149620	1
8	8524710	8524917	348	0	-197	1
8	8524720	8524870	349	0	-130	1
8	8524740	8524890	350	0	2421	1
8	8527311	8527523	351	0	-203	1
8	8527320	8527470	352	0	-130	1
8	8527340	8527490	353	0	405	1
8	8527895	8527970	354	0	150	1
8	8528120	8528270	355	0	-130	1
8	8528140	8528290	356	0	-109	1
8	8528181	8528350	357	0	10703	1
8	8539053	8539135	358	0	9999	1
8	8549134	8549256	359	0	9864	1
8	8559120	8559259	360	0	1	1
8	8559260	8559410	361	0	8550	1
8	8567960	8568110	362	0	26390	1
8	8594500	8594650	363	0	-139	1
8	8594511	8594702	364	0	-162	1
8	8594540	8594690	365	0	13593	1
8	8608283	8608523	366	0	-203	1
8	8608320	8608470	367	0	28710	1
8	8637180	8637330	368	0	-124	1
8	8637206	8637477	369	0	-237	1
8	8637240	8637390	370	1	112197	2
8	8749587	8749799	371	0	1287	2
8	8751086	8751188	372	0	32357	2
8	8783545	8783687	373	0	-107	2
8	8783580	8783730	374	0	16490	2
8	8800220	8800370	375	0	-107	2
8	8800263	8800333	376	0	20407	2
8	8820740	8820890	377	0	-138	2
8	8820752	8821015	378	0	10703	2
8	8831718	8831843	379	0	15097	2
8	8846940	8847090	380	0	13111	2
8	8860201	8860280	381	0	27114	2
8	8887394	8887538	382	0	-138	2
8	8887400	8887550	383	0	8210	2
8	8895760	8895910	384	0	-50	2
8	8895860	8896010	385	0	27285	2
8	8923295	8923539	386	0	-239	2
8	8923300	8923450	387	0	-90	2
8	8923360	8923510	388	0	8810	2
8	8932320	8932470	389	0	-113	2
8	8932357	8932557	390	0	-157	2
8	8932400	8932550	391	0	45630	2
8	8978180	8978326	392	0	28613	2
8	9006939	9007012	393	0	1164	2
8	9008176	9008459	394	0	-239	2
8	9008220	9008370	395	0	-90	2
8	9008280	9008430	396	0	104330	2
8	9112760	9112910	397	1	65277	3
8	9178187	9178384	398	0	-184	3
8	9178200	9178350	399	0	-110	3
8	9178240	9178390	400	0	17396	3
8	9195786	9195807	401	0	2	3
8	9195809	9195992	402	0	-112	3
8	9195880	9196030	403	0	630	3
8	9196660	9196810	404	0	-110	3
8	9196700	9196850	405	0	29730	3
8	9226580	9226730	406	0	-144	3
8	9226586	9226812	407	0	-212	3
8	9226600	9226750	408	0	307790	3
8	9534540	9534690	409	0	-130	3
8	9534560	9534710	410	0	18650	3
8	9553360	9553510	411	0	53190	3
8	9606700	9606850	412	0	-101	3
8	9606749	9606884	413	0	-124	3
8	9606760	9606910	414	0	10494	3
8	9617404	9617406	415	0	1	3
8	9617407	9617453	416	0	647	3
8	9618100	9618250	417	0	-130	3
8	9618120	9618270	418	0	-149	3
8	9618121	9618242	419	0	68718	3
8	9686960	9687110	420	0	-74	3
8	9687036	9687237	421	0	-177	3
8	9687060	9687210	422	0	1290	3
8	9688500	9688650	423	0	30	3
8	9688680	9688830	424	0	82691	3
8	9771521	9771608	425	0	19755	3
8	9791363	9791479	426	0	23959	3
8	9815438	9815604	427	0	-164	3
8	9815440	9815590	428	0	-130	3
8	9815460	9815610	429	0	83630	3
8	9899240	9899390	430	0	6296	3
8	9905686	9905851	431	0	-151	3
8	9905700	9905850	432	0	6628	3
8	9912478	9912538	433	0	135022	3
8	10047560	10047710	434	0	-116	3
8	10047594	10047761	435	0	-161	3
8	10047600	10047750	436	0	83699	3
8	10131449	10131688	437	0	-188	3
8	10131500	10131650	438	0	-130	3
8	10131520	10131670	439	0	42610	3
8	10174280	10174430	440	0	-23	3
8	10174407	10174546	441	0	-126	3
8	10174420	10174570	442	0	15730	3
8	10190300	10190450	443	0	-141	3
8	10190309	10190534	444	0	-214	3
8	10190320	10190470	445	0	27809	3
8	10218279	10218362	446	0	18676	3
8	10237038	10237215	447	0	-155	3
8	10237060	10237210	448	0	-130	3
8	10237080	10237230	449	0	38062	3
8	10275292	10275571	450	0	-211	3
8	10275360	10275510	451	0	-130	3
8	10275380	10275530	452	0	7164	3
8	10282694	10283024	453	0	-224	3
8	10282800	10282950	454	0	48970	3
8	10331920	10332070	455	0	-136	3
8	10331934	10332150	456	0	-190	3
8	10331960	10332110	457	0	10410	3
8	10342520	10342670	458	0	-108	3
8	10342562	10342606	459	0	57080	3
8	10399686	10399869	460	0	-169	3
8	10399700	10399850	461	0	-90	3
8	10399760	10399910	462	0	4595	3
8	10404505	10404624	463	0	829	3
8	10405453	10405522	464	0	86	3
8	10405608	10405901	465	0	-241	3
8	10405660	10405810	466	0	-70	3
8	10405740	10405890	467	0	1962	3
8	10407852	10408023	468	0	-143	3
8	10407880	10408030	469	0	-130	3
8	10407900	10408050	470	0	36825	3
8	10444875	10445075	471	0	-135	3
8	10444940	10445090	472	0	2593	3
8	10447683	10447982	473	0	-282	3
8	10447700	10447850	474	0	-130	3
8	10447720	10447870	475	0	2721	3
8	10450591	10450739	476	0	5742	3
8	10456481	10456613	477	0	33917	3
8	10490530	10490696	478	0	8113	3
8	10498809	10498863	479	0	3282	3
8	10502145	10502280	480	0	-80	3
8	10502200	10502350	481	0	15944	3
8	10518294	10518385	482	0	17995	3
8	10536380	10536415	483	0	32856	3
8	10569271	10569336	484	0	78769	3
8	10648105	10648291	485	0	8049	3
8	10656340	10656490	486	0	-130	3
8	10656360	10656510	487	0	15250	3
8	10671760	10671910	488	0	-122	3
8	10671788	10671951	489	0	-131	3
8	10671820	10671970	490	0	10970	3
8	10682940	10683090	491	0	-130	3
8	10682960	10683110	492	0	-127	3
8	10682983	10683132	493	0	13308	3
8	10696440	10696590	494	0	-130	3
8	10696460	10696610	495	0	-143	3
8	10696467	10696715	496	0	656	3
8	10697371	10697405	497	0	10616	3
8	10708021	10708248	498	0	-148	3
8	10708100	10708250	499	1	65152	4
8	10773402	10773590	500	0	11691	4
8	10785281	10785463	501	0	510	4
8	10785973	10786320	502	0	-240	4
8	10786080	10786230	503	0	-130	4
8	10786100	10786250	504	0	71	4
8	10786321	10786323	505	0	31337	4
8	10817660	10817810	506	0	4490	4
8	10822300	10822450	507	0	-65	4
8	10822385	10822545	508	0	-125	4
8	10822420	10822570	509	0	10107	4
8	10832677	10832804	510	0	1716	4
8	10834520	10834670	511	0	64	4
8	10834734	10834962	512	0	-222	4
8	10834740	10834890	513	0	-90	4
8	10834800	10834950	514	0	20174	4
8	10855124	10855185	515	0	17373	4
8	10872558	10872709	516	0	1256	4
8	10873965	10874212	517	0	-212	4
8	10874000	10874150	518	0	-90	4
8	10874060	10874210	519	0	15250	4
8	10889460	10889610	520	0	-94	4
8	10889516	10889613	521	0	23840	4
8	10913453	10913709	522	0	-169	4
8	10913540	10913690	523	0	4200	4
8	10917890	10917972	524	0	6473	4
8	10924445	10924486	525	0	24014	4
8	10948500	10948650	526	0	-130	4
8	10948520	10948670	527	0	-146	4
8	10948524	10948671	528	0	14195	4
8	10962866	10962988	529	0	33845	4
8	10996833	10996970	530	0	60797	4
8	11057767	11057806	531	0	481	4
8	11058287	11058505	532	0	37	4
8	11058542	11058692	533	0	45788	4
8	11104480	11104630	534	0	-130	4
8	11104500	11104650	535	0	32490	4
8	11137140	11137290	536	0	-110	4
8	11137180	11137330	537	0	4563	4
8	11141893	11142146	538	0	-206	4
8	11141940	11142090	539	0	-110	4
8	11141980	11142130	540	0	19850	4
8	11161980	11162130	541	0	-110	4
8	11162020	11162170	542	0	11250	4
8	11173420	11173570	543	0	30870	4
8	11204440	11204590	544	0	-103	4
8	11204487	11204636	545	0	3250	4
8	11207886	11207999	546	0	42588	4
8	11250587	11250589	547	0	2	4
8	11250591	11250705	548	0	16235	4
8	11266940	11267090	549	0	-83	4
8	11267007	11267191	550	0	-171	4
8	11267020	11267170	551	0	1890	4
8	11269060	11269210	552	0	-110	4
8	11269100	11269250	553	0	-144	4
8	11269106	11269276	554	0	1973	4
8	11271249	11271529	555	0	-229	4
8	11271300	11271450	556	0	-110	4
8	11271340	11271490	557	0	15355	4
8	11286845	11287091	558	0	-191	4
8	11286900	11287050	559	0	-130	4
8	11286920	11287070	560	0	5090	4
8	11292160	11292310	561	0	-100	4
8	11292210	11292258	562	0	22620	4
8	11314878	11314991	563	0	1449	4
8	11316440	11316590	564	0	-130	4
8	11316460	11316610	565	0	8350	4
8	11324960	11325110	566	0	-12	4
8	11325098	11325393	567	0	-173	4
8	11325220	11325370	568	0	12390	4
8	11337760	11337910	569	0	-139	4
8	11337771	11337885	570	0	27984	4
8	11365869	11365961	571	0	25519	4
8	11391480	11391630	572	0	11996	4
8	11403626	11403680	573	0	7624	4
8	11411304	11411583	574	0	-243	4
8	11411340	11411490	575	0	4033	4
8	11415523	11415667	576	0	6128	4
8	11421795	11421962	577	0	84	4
8	11422046	11422345	578	0	-225	4
8	11422120	11422270	579	0	-130	4
8	11422140	11422290	580	0	2372	4
8	11424662	11424885	581	0	-165	4
8	11424720	11424870	582	0	-90	4
8	11424780	11424930	583	0	4274	4
8	11429204	11429237	584	0	17796	4
8	11447033	11447313	585	0	-273	4
8	11447040	11447190	586	0	-90	4
8	11447100	11447250	587	0	61892	4
8	11509142	11509370	588	0	-130	4
8	11509240	11509390	589	0	-130	4
8	11509260	11509410	590	0	64698	4
8	11574108	11574258	591	0	122	4
8	11574380	11574530	592	0	19422	4
8	11593952	11594201	593	0	-221	4
8	11593980	11594130	594	0	-130	4
8	11594000	11594150	595	0	9750	4
8	11603900	11604050	596	0	-129	4
8	11603921	11604172	597	0	-212	4
8	11603960	11604110	598	0	136	4
8	11604246	11604337	599	0	8283	4
8	11612620	11612770	600	0	-111	4
8	11612659	11612810	601	0	3897	4
8	11616707	11616867	602	0	6131	4
8	11622998	11623280	603	0	-200	4
8	11623080	11623230	604	0	-130	4
8	11623100	11623250	605	0	22050	4
8	11645300	11645450	606	0	-62	4
8	11645388	11645554	607	0	20086	4
8	11665640	11665790	608	0	-46	4
8	11665744	11665859	609	0	37197	4
8	11703056	11703291	610	0	-231	4
8	11703060	11703210	611	0	7673	4
8	11710883	11711000	612	0	8798	4
8	11719798	11719922	613	0	-42	4
8	11719880	11720030	614	0	39773	4
8	11759803	11760101	615	0	-241	4
8	11759860	11760010	616	0	5811	4
8	11765821	11765963	617	0	3437	4
8	11769400	11769550	618	0	1492	4
8	11771042	11771226	619	0	22429	4
8	11793655	11793846	620	0	-186	4
8	11793660	11793810	621	0	7393	4
8	11801203	11801485	622	0	-225	4
8	11801260	11801410	623	0	-90	4
8	11801320	11801470	624	0	13750	4
8	11815220	11815370	625	0	-137	4
8	11815233	11815428	626	0	-188	4
8	11815240	11815390	627	0	410	4
8	11815800	11815950	628	0	-130	4
8	11815820	11815970	629	0	467	4
8	11816437	11816707	630	0	-207	4
8	11816500	11816650	631	0	-130	4
8	11816520	11816670	632	0	3523	4
8	11820193	11820259	633	0	7827	4
8	11828086	11828315	634	0	-215	4
8	11828100	11828250	635	0	-130	4
8	11828120	11828270	636	0	15810	4
8	11844080	11844230	637	0	28399	4
8	11872629	11872866	638	0	-206	4
8	11872660	11872810	639	0	-130	4
8	11872680	11872830	640	0	45195	4
8	11918025	11918104	641	0	3178	4
8	11921282	11921450	642	0	51728	4
8	11973178	11973324	643	0	31096	4
8	12004420	12004570	644	0	-110	4
8	12004460	12004610	645	0	35570	4
8	12040180	12040330	646	0	-126	4
8	12040204	12040445	647	0	11058	4
8	12051503	12051565	648	0	113000	4
8	12164565	12164706	649	0	3162	4
8	12167868	12168029	650	1	114482	5
8	12282511	12282712	651	0	41241	5
8	12323953	12324045	652	0	33314	5
8	12357359	12357514	653	1	101402	6
8	12458916	12459196	654	0	12549	6
8	12471745	12471879	655	0	28321	6
8	12500200	12500350	656	0	16555	6
8	12516905	12517218	657	0	-278	6
8	12516940	12517090	658	0	-110	6
8	12516980	12517130	659	0	5934	6
8	12523064	12523328	660	0	-228	6
8	12523100	12523250	661	0	-130	6
8	12523120	12523270	662	0	23290	6
8	12546560	12546710	663	0	-146	6
8	12546564	12546719	664	0	18754	6
8	12565473	12565527	665	0	613	6
8	12566140	12566290	666	0	-82	6
8	12566208	12566381	667	0	-61	6
8	12566320	12566470	668	0	-90	6
8	12566380	12566530	669	0	14596	6
8	12581126	12581210	670	0	30417	6
8	12611627	12611702	671	0	1041	6
8	12612743	12612744	672	0	2	6
8	12612746	12612756	673	0	85500	6
8	12698256	12698465	674	0	-185	6
8	12698280	12698430	675	0	-110	6
8	12698320	12698470	676	0	25970	6
8	12724440	12724590	677	0	-110	6
8	12724480	12724630	678	0	84698	6
8	12809328	12809465	679	0	27015	6
8	12836480	12836630	680	0	54850	6
8	12891480	12891630	681	0	-138	6
8	12891492	12891643	682	0	8243	6
8	12899886	12900116	683	0	-216	6
8	12899900	12900050	684	0	-50	6
8	12900000	12900150	685	0	25289	6
8	12925439	12925529	686	0	65119	6
8	12990648	12990885	687	0	-125	6
8	12990760	12990910	688	0	56306	6
8	13047216	13047346	689	0	355034	6
8	13402380	13402530	690	0	-118	6
8	13402412	13402575	691	0	110065	6
8	13512640	13512790	692	0	-50	6
8	13512740	13512890	693	0	4010	6
8	13516900	13517050	694	0	-110	6
8	13516940	13517090	695	0	2745	6
8	13519835	13519979	696	0	-139	6
8	13519840	13519990	697	0	-130	6
8	13519860	13520010	698	1	65270	7
8	13585280	13585430	699	0	-50	7
8	13585380	13585530	700	0	483010	7
8	14068540	14068690	701	0	-92	7
8	14068598	14068791	702	0	-151	7
8	14068640	14068790	703	0	53128	7
8	14121918	14122138	704	0	-198	7
8	14121940	14122090	705	0	41274	7
8	14163364	14163484	706	0	151136	7
8	14314620	14314770	707	0	-80	7
8	14314690	14314898	708	0	-158	7
8	14314740	14314890	709	0	402910	7
8	14717800	14717950	710	0	-110	7
8	14717840	14717990	711	0	143730	7
8	14861720	14861870	712	0	-130	7
8	14861740	14861849	713	0	35851	7
8	14897700	14897850	714	0	-55	7
8	14897795	14897932	715	0	197908	7
8	15095840	15095990	716	0	-149	7
8	15095841	15095938	717	0	139950	7
8	15235888	15236052	718	0	-152	7
8	15235900	15236050	719	0	-110	7
8	15235940	15236090	720	0	75070	7
8	15311160	15311310	721	0	-121	7
8	15311189	15311389	722	0	44831	7
8	15356220	15356370	723	0	1190	7
8	15357560	15357710	724	0	-66	7
8	15357644	15357728	725	0	-48	7
8	15357680	15357830	726	0	41890	7
8	15399720	15399870	727	0	20310	7
8	15420180	15420330	728	0	-144	7
8	15420186	15420344	729	0	-124	7
8	15420220	15420370	730	0	81290	7
8	15501660	15501810	731	0	-90	7
8	15501720	15501870	732	0	-134	7
8	15501736	15501814	733	0	161846	7
8	15663660	15663810	734	0	-50	7
8	15663760	15663910	735	0	54387	7
8	15718297	15718338	736	0	85842	7
8	15804180	15804330	737	0	-62	7
8	15804268	15804406	738	0	130534	7
8	15934940	15935090	739	0	-10	7
8	15935080	15935230	740	0	-134	7
8	15935096	15935131	741	0	42882	7
8	15978013	15978061	742	0	179	7
